curve,rank,conductor,K,alpha,mode,P,loglogK,logP,h2_adjusted_logP_plus_rank_loglogK
37a1,1,37,1000,0,sharp,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0,c_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0,P_only,0.020447580069275585,1.9326447339160655,-3.8898907375161027,-1.9572460036000372
37a1,1,37,1000,0,L2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0,cP_only,0.020447580069275585,1.9326447339160655,-3.8898907375161027,-1.9572460036000372
37a1,1,37,1000,0,cL2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0,PL2_only,0.020447580069275585,1.9326447339160655,-3.8898907375161027,-1.9572460036000372
37a1,1,37,1000,0,all,0.020447580069275585,1.9326447339160655,-3.8898907375161027,-1.9572460036000372
37a1,1,37,1000,0.25,sharp,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.25,c_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.25,P_only,0.019104674899000591,1.9326447339160655,-3.9578222147681985,-2.025177480852133
37a1,1,37,1000,0.25,L2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.25,cP_only,0.019104674899000591,1.9326447339160655,-3.9578222147681985,-2.025177480852133
37a1,1,37,1000,0.25,cL2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.25,PL2_only,0.019104674899000591,1.9326447339160655,-3.9578222147681985,-2.025177480852133
37a1,1,37,1000,0.25,all,0.019104674899000591,1.9326447339160655,-3.9578222147681985,-2.025177480852133
37a1,1,37,1000,0.5,sharp,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.5,c_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.5,P_only,0.017605483900973967,1.9326447339160655,-4.0395448401880323,-2.1069001062719668
37a1,1,37,1000,0.5,L2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.5,cP_only,0.017605483900973967,1.9326447339160655,-4.0395448401880323,-2.1069001062719668
37a1,1,37,1000,0.5,cL2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.5,PL2_only,0.017605483900973967,1.9326447339160655,-4.0395448401880323,-2.1069001062719668
37a1,1,37,1000,0.5,all,0.017605483900973967,1.9326447339160655,-4.0395448401880323,-2.1069001062719668
37a1,1,37,1000,0.65,sharp,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.65,c_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.65,P_only,0.017936003363807962,1.9326447339160655,-4.0209452251073037,-2.0883004911912382
37a1,1,37,1000,0.65,L2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.65,cP_only,0.017936003363807962,1.9326447339160655,-4.0209452251073037,-2.0883004911912382
37a1,1,37,1000,0.65,cL2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.65,PL2_only,0.017936003363807962,1.9326447339160655,-4.0209452251073037,-2.0883004911912382
37a1,1,37,1000,0.65,all,0.017936003363807962,1.9326447339160655,-4.0209452251073037,-2.0883004911912382
37a1,1,37,1000,0.75,sharp,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.75,c_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.75,P_only,0.018855566560404904,1.9326447339160655,-3.9709471004387225,-2.0383023665226569
37a1,1,37,1000,0.75,L2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.75,cP_only,0.018855566560404904,1.9326447339160655,-3.9709471004387225,-2.0383023665226569
37a1,1,37,1000,0.75,cL2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.75,PL2_only,0.018855566560404904,1.9326447339160655,-3.9709471004387225,-2.0383023665226569
37a1,1,37,1000,0.75,all,0.018855566560404904,1.9326447339160655,-3.9709471004387225,-2.0383023665226569
37a1,1,37,1000,0.85,sharp,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.85,c_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.85,P_only,0.020265963388268228,1.9326447339160655,-3.8988124805169924,-1.9661677466009269
37a1,1,37,1000,0.85,L2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.85,cP_only,0.020265963388268228,1.9326447339160655,-3.8988124805169924,-1.9661677466009269
37a1,1,37,1000,0.85,cL2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.85,PL2_only,0.020265963388268228,1.9326447339160655,-3.8988124805169924,-1.9661677466009269
37a1,1,37,1000,0.85,all,0.020265963388268228,1.9326447339160655,-3.8988124805169924,-1.9661677466009269
37a1,1,37,1000,0.92,sharp,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.92,c_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.92,P_only,0.021668335161307194,1.9326447339160655,-3.8319032932745833,-1.8992585593585178
37a1,1,37,1000,0.92,L2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.92,cP_only,0.021668335161307194,1.9326447339160655,-3.8319032932745833,-1.8992585593585178
37a1,1,37,1000,0.92,cL2_only,0.021313139983840761,1.9326447339160655,-3.8484314958219414,-1.9157867619058759
37a1,1,37,1000,0.92,PL2_only,0.021668335161307194,1.9326447339160655,-3.8319032932745833,-1.8992585593585178
37a1,1,37,1000,0.92,all,0.021668335161307194,1.9326447339160655,-3.8319032932745833,-1.8992585593585178
37a1,1,37,3000,0,sharp,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0,c_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0,P_only,0.017345447068977012,2.0802371710391188,-4.0544252238002345,-1.9741880527611158
37a1,1,37,3000,0,L2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0,cP_only,0.017345447068977012,2.0802371710391188,-4.0544252238002345,-1.9741880527611158
37a1,1,37,3000,0,cL2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0,PL2_only,0.017345447068977012,2.0802371710391188,-4.0544252238002345,-1.9741880527611158
37a1,1,37,3000,0,all,0.017345447068977012,2.0802371710391188,-4.0544252238002345,-1.9741880527611158
37a1,1,37,3000,0.25,sharp,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.25,c_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.25,P_only,0.016377497319618035,2.0802371710391188,-4.1118470010207178,-2.031609829981599
37a1,1,37,3000,0.25,L2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.25,cP_only,0.016377497319618035,2.0802371710391188,-4.1118470010207178,-2.031609829981599
37a1,1,37,3000,0.25,cL2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.25,PL2_only,0.016377497319618035,2.0802371710391188,-4.1118470010207178,-2.031609829981599
37a1,1,37,3000,0.25,all,0.016377497319618035,2.0802371710391188,-4.1118470010207178,-2.031609829981599
37a1,1,37,3000,0.5,sharp,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.5,c_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.5,P_only,0.015249816280987675,2.0802371710391188,-4.1831878231496331,-2.1029506521105144
37a1,1,37,3000,0.5,L2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.5,cP_only,0.015249816280987675,2.0802371710391188,-4.1831878231496331,-2.1029506521105144
37a1,1,37,3000,0.5,cL2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.5,PL2_only,0.015249816280987675,2.0802371710391188,-4.1831878231496331,-2.1029506521105144
37a1,1,37,3000,0.5,all,0.015249816280987675,2.0802371710391188,-4.1831878231496331,-2.1029506521105144
37a1,1,37,3000,0.65,sharp,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.65,c_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.65,P_only,0.014633834685890803,2.0802371710391188,-4.2244189871611999,-2.1441818161220811
37a1,1,37,3000,0.65,L2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.65,cP_only,0.014633834685890803,2.0802371710391188,-4.2244189871611999,-2.1441818161220811
37a1,1,37,3000,0.65,cL2_only,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
37a1,1,37,3000,0.65,PL2_only,0.014633834685890803,2.0802371710391188,-4.2244189871611999,-2.1441818161220811
37a1,1,37,3000,0.65,all,0.014633834685890803,2.0802371710391188,-4.2244189871611999,-2.1441818161220811
37a1,1,37,3000,0.75,sharp,0.016150834112096904,2.0802371710391188,-4.1257835828393157,-2.0455464118001969
