p,M,n,old_D_sq,delta_sq,dilution_raw,C_A,C_W,W
653,-8,129287,15975161.862094,21237.792367,161533.165990,0.131476,0.623136,0.00095573
659,-10,131703,16615998.925785,21388.588599,166444.792222,0.128503,0.630320,0.00095793
661,-11,132521,16988288.176563,21915.718957,169636.369643,0.129192,0.638446,0.00096734
663,-11,133511,17406580.758135,21908.167981,173045.286616,0.126604,0.646454,0.00097652
665,-12,134223,17599956.975908,21887.721397,174564.383456,0.125385,0.648673,0.00097692
673,-11,137319,17655696.281063,22873.175848,173226.705008,0.132042,0.629206,0.00093632
677,-11,138999,18116049.653819,22969.909383,176637.658063,0.130040,0.633851,0.00093765
683,-12,141483,18674563.945963,23129.409198,180470.428754,0.128162,0.636248,0.00093291
691,-9,144811,19064569.672530,23931.421521,182111.755154,0.131411,0.627297,0.00090913
701,-5,149019,19702484.743467,24459.992258,185535.158509,0.131835,0.621063,0.00088723
705,-5,150903,20145985.868411,24925.776414,188410.530398,0.132295,0.622824,0.00088469
709,-4,152455,20227264.303707,24998.262373,188306.795004,0.132753,0.616151,0.00087027
715,-4,155115,20729046.374774,25543.542601,191272.318243,0.133545,0.615134,0.00086153
719,-3,156785,20988558.309820,25319.449234,192675.205600,0.131410,0.613053,0.00085383
733,-3,162969,22329441.264306,26796.222805,201042.644538,0.133286,0.615430,0.00084075
741,-3,166681,23258606.222917,27392.531326,206977.094660,0.132346,0.619503,0.00083717
743,-5,167425,23314873.338120,27462.671566,207113.281581,0.132597,0.617158,0.00083175
751,-3,171019,24068576.304172,28257.360011,211567.303099,0.133562,0.617196,0.00082293
757,-3,173789,24711010.034162,28934.550505,215458.479639,0.134293,0.618540,0.00081817
759,-3,174923,25241727.306861,28442.053366,219235.716824,0.129733,0.625309,0.00082495
761,-4,175651,25304499.323010,29107.601967,219446.793574,0.132641,0.623319,0.00082016
769,-3,179409,26082949.660025,29544.975084,223785.656425,0.132024,0.622343,0.00081034
777,-3,183321,27224492.478113,30100.995616,230971.027929,0.130324,0.628633,0.00081009
829,-3,208537,32574562.484450,34537.069481,259189.339330,0.133250,0.620216,0.00074905
839,-3,213559,33694939.775305,34620.612970,264954.967053,0.130666,0.619117,0.00073880
861,-3,225091,37331038.729783,37046.209986,285804.622475,0.129621,0.633654,0.00073681
863,-3,226001,37351977.237477,36751.781305,285474.906054,0.128739,0.630377,0.00073130
1023,-4,317853,62735189.024687,52314.857443,404076.343328,0.129468,0.634614,0.00062095
1031,-5,322533,63389903.854161,52994.920611,405514.191782,0.130686,0.627638,0.00060936
1033,-6,323899,64294161.621218,53448.120754,410358.036120,0.130248,0.632458,0.00061285
1039,-8,327655,65424145.900215,53720.970519,415179.577041,0.129392,0.632560,0.00060940
1045,-6,331513,66518377.938146,54671.124280,419618.747263,0.130288,0.631889,0.00060526
1049,-5,333971,67043973.384014,54767.112519,421427.759964,0.129956,0.629946,0.00060109
1051,-6,335259,67947694.517789,55719.283100,426278.204727,0.130711,0.634751,0.00060452
1061,-5,341647,69485324.323616,56541.096228,431841.664469,0.130930,0.631021,0.00059530
1063,-6,343055,70365063.950205,56537.518234,436334.498476,0.129574,0.634971,0.00059790
1065,-7,344549,71403649.884430,56925.734212,441683.418843,0.128884,0.639971,0.00060148
1069,-8,346901,71574297.166894,57307.577995,441388.286068,0.129835,0.635210,0.00059477
1085,-6,357421,73864700.359672,58879.759264,448718.759402,0.131218,0.626767,0.00057820
1087,-8,358501,74308363.163854,59038.036256,450883.607920,0.130939,0.627895,0.00057817
1091,-10,361191,75770739.397041,59184.334705,458011.001947,0.129220,0.633074,0.00058080
1093,-11,362569,76987345.671176,60441.318202,464445.578424,0.130136,0.639530,0.00058565
1095,-11,364207,78124201.508435,59856.546591,470041.707429,0.127343,0.644327,0.00058896
1097,-12,365327,78569778.074712,60209.856566,472133.993514,0.127527,0.645212,0.00058870
1103,-12,369355,80089824.390155,60739.739369,478621.653036,0.126906,0.646950,0.00058707
1105,-13,370809,81370965.256329,61383.527057,485248.606067,0.126499,0.653338,0.00059179
1109,-15,373317,82488410.063861,61329.089530,490375.692183,0.125066,0.655809,0.00059189
1113,-14,376265,83240508.141273,62146.807708,492739.023748,0.126125,0.653810,0.00058796
1117,-13,378693,83131247.428604,62702.437706,490693.909324,0.127783,0.646925,0.00057968
1123,-12,382805,84394728.634942,63244.099502,495446.270771,0.127651,0.646179,0.00057592
1129,-12,386941,86055191.150353,64001.653348,502462.876342,0.127376,0.648331,0.00057476
1131,-14,388517,87998029.881706,64219.353021,512628.178082,0.125275,0.658766,0.00058298
1151,-6,402063,88573522.606065,66018.136564,507409.151298,0.130108,0.630106,0.00054792
1153,-7,403597,89646724.186012,67237.855736,512493.472625,0.131197,0.634003,0.00055035
1163,-6,410565,91805696.429089,67864.888215,520400.823543,0.130409,0.632866,0.00054464
1171,-5,416195,93654717.271789,69105.692643,527301.088617,0.131055,0.632589,0.00054067
1173,-6,417949,95125961.378637,68756.555384,534246.723206,0.128698,0.638234,0.00054457
1181,-6,423339,95664948.612336,70017.524021,534049.377295,0.131107,0.629881,0.00053380
1185,-8,426423,97247808.117811,70574.465606,540783.469935,0.130504,0.633214,0.00053481
1187,-8,427639,97474189.324198,70217.823446,541413.179113,0.129694,0.632149,0.00053301
1193,-6,432073,98589846.667868,71258.154472,544728.333702,0.130814,0.629498,0.00052810
1201,-5,437787,100554886.222165,72832.904122,552009.262918,0.131941,0.629591,0.00052466
1223,-3,454049,105729278.130198,74586.036079,569872.590802,0.130882,0.626702,0.00051285
1237,-3,464497,110564606.736460,76754.766128,589195.078979,0.130271,0.633386,0.00051245
1239,-3,466351,112213020.879612,76431.383766,596564.011495,0.128119,0.638761,0.00051596
1249,-3,473559,113406775.072862,78730.442275,598523.727581,0.131541,0.631110,0.00050570
1311,-4,521997,134760709.337688,86044.439571,677237.787376,0.127052,0.647886,0.00049457
1499,-3,682285,198868281.578748,112421.118592,874214.500166,0.128597,0.639949,0.00042720
1511,-3,693213,202747404.116819,113822.415117,884236.205115,0.128724,0.637087,0.00042191
1551,-3,730633,219683167.912591,120674.240259,933081.577912,0.129329,0.637867,0.00041153
1553,-4,732321,219385224.208329,121148.319475,930866.824756,0.130146,0.634887,0.00040908
1559,-4,738073,221949228.190132,121327.997706,938015.262054,0.129345,0.634779,0.00040743
1567,-3,745543,225132153.003842,123200.120406,946765.569395,0.130127,0.634284,0.00040503
1571,-4,749449,227791075.533406,124245.764464,955386.117728,0.130048,0.636725,0.00040556
1579,-4,757149,231514941.865368,125021.501658,966021.951319,0.129419,0.637270,0.00040385
1581,-5,759351,233686211.420153,125636.933726,973484.833554,0.129059,0.640332,0.00040527
1583,-7,760983,234560833.765771,125170.127404,976266.096172,0.128213,0.640785,0.00040505
1595,-4,772749,239099598.433724,127059.513935,987430.188617,0.128677,0.638249,0.00040041
1597,-5,774301,239046796.104036,128527.363017,986468.782543,0.130290,0.636350,0.00039872
1599,-7,776633,241634933.343316,127984.197202,995399.053892,0.128576,0.640184,0.00040062
1601,-8,778233,241966781.798569,129384.018818,995960.916944,0.129909,0.639229,0.00039952
1605,-8,782529,244713587.453432,129317.075431,1004238.517995,0.128771,0.641005,0.00039963
1607,-10,784097,245801315.349949,129709.460032,1007939.543599,0.128688,0.642082,0.00039980
1609,-11,786231,248189715.403317,129956.109622,1016233.577498,0.127880,0.645609,0.00040150
1613,-11,790155,250723477.782674,131168.980161,1024048.489698,0.128089,0.647344,0.00040158
1615,-13,792303,254218875.884818,130669.445796,1036793.211856,0.126032,0.653625,0.00040497
1619,-13,795903,254567542.242272,130804.325156,1036078.395235,0.126249,0.650221,0.00040187
1621,-14,797953,257640202.881401,132949.801491,1047181.493391,0.126960,0.655502,0.00040463
1627,-14,803875,261071988.681518,132925.270469,1057210.076933,0.125732,0.656907,0.00040400
1635,-15,812149,265151138.305799,134326.820430,1068012.901115,0.125773,0.656862,0.00040200
1637,-16,813829,266557134.615483,134083.635756,1072770.311009,0.124988,0.658426,0.00040246
1645,-13,822033,267909175.346947,136464.259067,1072665.231866,0.127220,0.651795,0.00039647
1653,-11,829999,267861351.567916,137408.851166,1067344.244294,0.128739,0.642340,0.00038883
1657,-10,833681,268733149.455551,138416.882362,1068667.955859,0.129523,0.640297,0.00038665
1659,-10,836165,271866592.619722,138019.861068,1079216.907928,0.127889,0.644698,0.00038884
1663,-11,839809,273844123.031066,138581.919293,1084959.288197,0.127730,0.645317,0.00038828
1667,-12,843775,276491371.678593,139768.919884,1092920.215795,0.127886,0.646998,0.00038835
1669,-13,845993,280208762.986986,140077.918108,1106035.106842,0.126649,0.653047,0.00039151
1677,-13,854281,283305294.409551,141258.480249,1112714.537553,0.126949,0.650620,0.00038820
1693,-9,870415,286158959.203503,144193.120649,1113610.309413,0.129483,0.639080,0.00037771
1695,-10,872767,288987218.041910,144539.048395,1122910.097940,0.128718,0.642681,0.00037939
1697,-11,874495,290402449.016656,144756.339116,1127508.227927,0.128386,0.644038,0.00037974
1699,-13,876755,294482475.278220,144789.790755,1141745.288076,0.126814,0.650490,0.00038309
1705,-14,882977,297919750.057335,146366.950095,1150981.508147,0.127167,0.651134,0.00038212
1709,-13,886885,298817482.507262,146403.233126,1152058.532691,0.127080,0.648872,0.00037990
1721,-9,899419,302931884.739784,149046.193766,1159728.777699,0.128518,0.644094,0.00037447
1723,-9,901619,305211413.537746,149875.178178,1166958.439063,0.128432,0.646529,0.00037545
1729,-8,908079,308450063.349879,150803.377861,1175027.368277,0.128340,0.646370,0.00037406
1733,-9,912079,309402587.606448,150940.722257,1176200.951102,0.128329,0.644180,0.00037193
1741,-9,920495,313528968.453444,152899.260105,1186439.946238,0.128872,0.643849,0.00037003
1743,-11,923027,316969687.659305,152814.985495,1197542.941179,0.127607,0.648093,0.00037204
1747,-11,926843,317550709.544606,153168.499490,1197539.978549,0.127903,0.645424,0.00036966
1749,-12,929381,320831390.945518,153440.067701,1207988.255134,0.127021,0.649278,0.00037144
1753,-12,933229,322025043.816967,154803.382479,1210244.144983,0.127911,0.647809,0.00036975
1759,-12,939681,326985182.741371,154770.725417,1224623.399320,0.126382,0.651008,0.00037031
1767,-8,948605,330370049.736351,156456.726597,1231232.370485,0.127073,0.648366,0.00036714
1771,-7,952597,331559410.732913,157961.179210,1233271.515900,0.128083,0.646720,0.00036538
1777,-7,958839,334373674.913867,159373.433452,1239827.793499,0.128545,0.645927,0.00036370
1783,-7,965431,337103746.716971,160434.056256,1245605.915745,0.128800,0.644509,0.00036168
1787,-8,969697,339101702.361070,160541.980553,1250273.794899,0.128405,0.644079,0.00036063
1789,-9,972075,342071216.291190,161039.275246,1259544.446212,0.127855,0.647269,0.00036201
1801,-7,985059,347154689.874256,164185.426762,1269871.880766,0.129293,0.643978,0.00035777
1811,-7,996023,351873341.380971,164748.743993,1280029.548448,0.128707,0.641987,0.00035469
1823,-3,1009345,356866769.169482,166461.596226,1289545.421413,0.129085,0.638227,0.00035029
1831,-3,1018143,361219559.470707,168728.923709,1299671.774562,0.129824,0.637683,0.00034846
1833,-4,1020885,363763080.707025,168737.035182,1306732.709211,0.129129,0.639426,0.00034903
1873,-3,1065423,387796529.444083,177621.297587,1363951.918292,0.130225,0.639537,0.00034163
1877,-3,1070023,390491010.924313,177584.521524,1370444.021855,0.129582,0.639820,0.00034106
1879,-5,1072523,393660880.738443,177185.663117,1379816.360359,0.128412,0.642695,0.00034222
1885,-4,1079389,397528292.970477,178695.644281,1388928.215362,0.128657,0.642825,0.00034120
1887,-6,1081613,398100343.081564,178879.062007,1389539.223526,0.128733,0.641786,0.00034029
1889,-7,1083693,397806176.413203,178483.426482,1387315.972880,0.128654,0.639530,0.00033873
1901,-4,1097459,404672536.725414,182313.217762,1402409.362146,0.130000,0.638382,0.00033599
1905,-5,1102479,408569633.431635,183169.887313,1412432.018467,0.129684,0.640018,0.00033614
1907,-5,1104439,409094759.632531,182802.115042,1413219.617280,0.129352,0.639239,0.00033538
1913,-6,1111493,413603931.295340,183896.036538,1424194.118001,0.129123,0.640117,0.00033479
1933,-3,1134849,427068180.433111,188669.372194,1455344.381669,0.129639,0.640661,0.00033160
2143,-3,1394975,587617511.372664,231701.106269,1805972.244049,0.128297,0.646817,0.00030197
2163,-4,1421657,603204985.377145,235408.115321,1836055.831390,0.128214,0.645254,0.00029845
2301,-3,1608577,723790496.987335,267555.003726,2071281.983221,0.129174,0.643364,0.00027972
2345,-3,1670691,768828090.335909,276187.565446,2158863.908585,0.127932,0.645646,0.00027545
2347,-3,1672979,768426347.734909,278117.958326,2156622.629131,0.128960,0.644094,0.00027455
2351,-4,1678929,773830433.153308,277531.139164,2167779.814233,0.128026,0.645133,0.00027452
2355,-5,1685171,780303590.574033,279146.572374,2181520.547170,0.127960,0.646818,0.00027477
2357,-6,1687499,781615255.681473,279260.840312,2184026.226341,0.127865,0.646668,0.00027448
2365,-3,1699323,789511676.186724,281299.319716,2198174.002633,0.127970,0.646330,0.00027341
2373,-3,1711085,796144520.764853,283489.000850,2208848.471158,0.128342,0.645006,0.00027192
2377,-3,1716135,799811751.533649,285926.129436,2216222.205080,0.129015,0.645255,0.00027157
2379,-5,1719631,804777428.850660,284355.418393,2227319.642899,0.127667,0.647168,0.00027215
2381,-6,1721839,804568659.374058,286491.486194,2225756.089328,0.128716,0.645885,0.00027138
2383,-8,1725011,810837775.994197,285667.705709,2240854.221118,0.127482,0.649071,0.00027249
2387,-8,1731017,817441851.310586,286911.367484,2255044.826309,0.127231,0.650916,0.00027281
2389,-9,1733609,822070578.292980,287282.690580,2266320.263619,0.126762,0.653192,0.00027353
2393,-10,1739597,827967808.358551,288458.109098,2278528.442466,0.126598,0.654451,0.00027360
2397,-10,1745745,834280943.869410,288922.963186,2291639.262411,0.126077,0.655900,0.00027375
2399,-12,1748297,837662749.269806,288641.808675,2299486.723674,0.125524,0.657185,0.00027406
2405,-12,1757377,846689468.845701,290764.181651,2318038.385564,0.125435,0.659066,0.00027415
2409,-13,1763209,848178935.277067,292265.253881,2318283.913852,0.126070,0.656956,0.00027282
2411,-15,1765609,852563800.872403,292303.152980,2329033.263431,0.125504,0.659105,0.00027349
2417,-15,1774455,857738035.507189,293934.020284,2337287.623640,0.125759,0.658145,0.00027241
2423,-15,1783431,864826586.545880,295583.177550,2350561.689166,0.125750,0.658553,0.00027190
2431,-13,1795337,867748219.527272,297810.476967,2350595.118627,0.126696,0.654196,0.00026922
2437,-11,1803861,869193463.757589,300024.273493,2349166.543092,0.127715,0.650710,0.00026712
2441,-13,1810021,878440515.196108,299944.241441,2369960.966754,0.126561,0.654237,0.00026813
2445,-12,1816373,883138735.165638,301394.557790,2378193.430538,0.126733,0.654214,0.00026768
2447,-12,1818891,884626389.625669,300129.491344,2380847.515345,0.126060,0.654038,0.00026739
2451,-12,1825285,890949854.610775,303454.548331,2393371.008216,0.126790,0.655176,0.00026742
2459,-11,1836765,893770111.792087,303468.083403,2393726.901807,0.126776,0.651179,0.00026492
2465,-9,1846025,899319176.463207,306767.587799,2402352.419857,0.127695,0.650249,0.00026390
2467,-10,1848633,899664581.238633,307035.540991,2401831.623229,0.127834,0.649191,0.00026326
2473,-8,1857767,906791769.104406,308596.480549,2414813.715473,0.127793,0.649492,0.00026274
2477,-8,1863911,915052734.847597,308868.170618,2432707.804291,0.126965,0.652148,0.00026339
2485,-6,1876295,921928584.971011,311589.936764,2442671.862216,0.127561,0.650499,0.00026188
2543,-3,1964371,970197640.754485,325215.570314,2512598.818524,0.129434,0.639129,0.00025143
2549,-4,1973665,980746356.389782,327245.555715,2533920.175916,0.129146,0.641519,0.00025177
2551,-5,1976853,985160093.323765,328035.335439,2543212.359087,0.128985,0.642833,0.00025209
2553,-6,1980523,990100030.802377,329020.087890,2553227.798033,0.128864,0.644169,0.00025242
2555,-6,1983383,990869034.491207,328197.964489,2553524.851867,0.128527,0.643315,0.00025189
2557,-7,1985951,990885415.015933,329908.280916,2552261.326618,0.129261,0.642166,0.00025124
2697,-4,2209959,1170476508.820819,366012.167258,2857545.754966,0.128086,0.646121,0.00023966
2699,-6,2212899,1171758924.940031,365755.680855,2858994.284228,0.127932,0.645590,0.00023928
2703,-7,2220061,1180328796.871254,368206.116770,2874866.231363,0.128078,0.647081,0.00023948
2707,-6,2225933,1180404034.503102,369643.893051,2871708.041280,0.128719,0.644665,0.00023824
2711,-8,2232583,1191221435.973379,369862.812821,2893661.160912,0.127818,0.647659,0.00023899
2713,-9,2236189,1200143413.060710,371110.755007,2912779.379408,0.127408,0.650887,0.00024000
2715,-11,2240177,1209050020.815161,371285.909153,2931330.390500,0.126661,0.653867,0.00024092
2717,-12,2242769,1209207552.802614,372095.576823,2930481.298893,0.126974,0.652922,0.00024040
2719,-13,2245829,1211217239.903073,371919.562262,2933509.695015,0.126783,0.652707,0.00024014
2729,-12,2262423,1223196244.507416,374213.035523,2951606.430549,0.126783,0.651918,0.00023897
2731,-14,2265727,1234045397.483158,377569.292566,2975622.018353,0.126888,0.656264,0.00024039
2737,-12,2276055,1243381077.017434,378591.194870,2991083.518559,0.126573,0.656682,0.00024002
2739,-13,2279499,1245640958.836606,377956.072840,2994178.308661,0.126230,0.656368,0.00023973
2741,-14,2282227,1246576104.685208,379021.492817,2995029.759448,0.126550,0.655770,0.00023933
2749,-13,2295939,1254065303.775271,380198.985892,3003767.790900,0.126574,0.653757,0.00023790
2751,-14,2299687,1263459674.443932,381586.820975,3023534.544140,0.126206,0.656987,0.00023890
2753,-15,2302591,1266055884.806977,381928.631536,3028126.055799,0.126127,0.657155,0.00023879
2755,-16,2306207,1275536126.029319,382350.923183,3048229.360715,0.125434,0.660481,0.00023983
2765,-14,2322923,1278417194.445609,385845.271795,3044136.523745,0.126750,0.654849,0.00023692
2767,-16,2325715,1285203239.385644,385487.093072,3058832.303718,0.126024,0.657220,0.00023761
2769,-17,2329857,1295516482.779911,386154.530633,3080120.198044,0.125370,0.660618,0.00023866
2777,-18,2342741,1299615575.365194,388914.061556,3081749.373829,0.126199,0.657334,0.00023679
2789,-19,2362893,1315157613.271972,391633.650915,3105364.981847,0.126115,0.656723,0.00023555
2791,-20,2366401,1325620994.934465,393823.507530,3127671.803449,0.125916,0.660461,0.00023672
2795,-22,2373355,1340863984.937896,394032.135760,3158886.182559,0.124738,0.665098,0.00023805
2797,-23,2376299,1346208948.803019,394882.111976,3169815.430707,0.124576,0.666573,0.00023840
2801,-23,2383313,1355506830.287774,396378.719811,3186865.192104,0.124379,0.668186,0.00023864
2803,-25,2387045,1372373708.670742,395968.258736,3223775.053665,0.122828,0.674869,0.00024085
2819,-21,2414443,1374549642.671139,399920.711862,3210464.149209,0.124568,0.664458,0.00023579
2821,-22,2417997,1386245135.858557,401337.393622,3235314.891492,0.124049,0.668617,0.00023710
2829,-22,2431693,1392256856.170289,403887.638884,3240204.978883,0.124649,0.665857,0.00023545
2833,-23,2438173,1397997341.262053,404889.907766,3249505.088196,0.124600,0.665994,0.00023517
2837,-25,2445013,1418138180.725415,404832.413991,3291739.038421,0.122984,0.672764,0.00023722
2843,-23,2455533,1420540294.948834,407155.234467,3290130.333295,0.123750,0.669555,0.00023559
2847,-22,2463005,1425040200.694797,408331.670587,3295167.950870,0.123918,0.668546,0.00023491
2849,-23,2466141,1430560767.321627,408360.990851,3306047.474759,0.123519,0.669901,0.00023522
2851,-24,2469021,1435769912.218894,410073.334561,3316542.000214,0.123645,0.671244,0.00023552
2857,-23,2479561,1440916738.130690,412937.330008,3321255.831863,0.124332,0.669341,0.00023436
2861,-22,2486709,1448171571.622086,412960.022930,3333041.743155,0.123899,0.669786,0.00023419
2865,-22,2494377,1458471405.660456,413799.053592,3351105.402752,0.123481,0.671347,0.00023441
2877,-20,2514901,1456451811.176034,417089.666796,3333054.068785,0.125137,0.662282,0.00023028
2879,-20,2517971,1457449053.791142,415795.993807,3333585.272798,0.124729,0.661581,0.00022988
2887,-19,2531941,1464254824.816525,419470.582539,3339926.016016,0.125593,0.659183,0.00022841
2895,-18,2546653,1472979271.422634,421779.314838,3349670.427668,0.125917,0.657288,0.00022712
2897,-19,2549629,1478757239.748564,422189.235245,3361205.177373,0.125607,0.658782,0.00022748
2903,-17,2560483,1483618669.347213,423846.682754,3364912.979439,0.125961,0.656713,0.00022630
2905,-18,2564265,1494514190.436708,426113.707811,3386956.299552,0.125810,0.660041,0.00022729
2909,-18,2570865,1499102544.261676,426208.876678,3393298.156103,0.125603,0.659580,0.00022682
2915,-17,2581813,1506012394.871456,427435.239744,3401483.144993,0.125661,0.658368,0.00022593
2917,-18,2584865,1510972218.574925,430301.197667,3410994.541374,0.126151,0.659429,0.00022614
2919,-18,2589239,1521496706.549282,428764.079601,3431300.945230,0.124957,0.662235,0.00022695
2927,-17,2602463,1523037904.508941,432075.350200,3426687.812582,0.126091,0.657985,0.00022488
2937,-15,2621021,1529099462.082957,434847.448360,3427634.113416,0.126865,0.653508,0.00022258
2939,-17,2624125,1536201174.783882,434049.480580,3441822.059094,0.126110,0.655437,0.00022309
2945,-16,2635309,1545967782.735150,437261.463766,3456043.583839,0.126521,0.655353,0.00022261
2953,-15,2649085,1548398479.451398,440306.641024,3452829.245065,0.127521,0.651339,0.00022064
2955,-17,2653297,1561962192.767523,440144.109903,3479900.511839,0.126482,0.655404,0.00022187
2957,-18,2656341,1568034897.854923,440634.601714,3491788.256565,0.126192,0.656890,0.00022222
2963,-16,2667161,1573694485.593750,441846.087683,3497255.206273,0.126341,0.655250,0.00022122
2967,-15,2674837,1581464037.231285,443271.847196,3509165.559507,0.126318,0.655595,0.00022104
2969,-16,2677933,1585398663.703487,443344.528211,3516197.610238,0.126086,0.656150,0.00022107
2971,-17,2681621,1597205627.718151,446834.360081,3539894.437906,0.126228,0.659664,0.00022211
2985,-11,2707645,1600235762.673434,449950.787121,3529070.282368,0.127498,0.651327,0.00021827
2999,-6,2732391,1609158413.726465,451924.602759,3533098.688937,0.127912,0.646167,0.00021553
3001,-7,2736189,1617818252.153993,455134.574150,3549546.802466,0.128223,0.648274,0.00021609
3009,-6,2751281,1626629646.792928,456090.701594,3558761.685331,0.128160,0.646393,0.00021489
3011,-6,2754145,1626680534.463306,457540.811326,3557535.272803,0.128612,0.645498,0.00021445
